IMAGE_KEY	scene1	scene2	scene3	scene4	scene5	Index	OriginalURL	OriginalLandingURL	Title	License
0000d67245642c5f	view of the roof of the building	looking up at the base of the pyramid	the pyramid of the pyramid	pyramid of monarch and tourist attraction	the pyramid of the pyramid	0	https://c1.staticflickr.com/1/708/31359705160_0b36c73698_o.jpg	https://www.flickr.com/photos/19942094@N00/31359705160	El Castillo in Chichen Itza	https://creativecommons.org/licenses/by/2.0/
0001244aa8ed3099	view of the house in the autumn	autumn leaves on the roof of a house	autumn in the garden -- stock photo #	photos of the gardens and gardens	the view from the garden	1	https://c1.staticflickr.com/1/419/31149466000_62951a3cde_o.jpg	https://www.flickr.com/photos/cheshyre/31149466000/in/album-72157673714247233/	Perspectives 65	https://creativecommons.org/licenses/by/2.0/
0001c8fbfb30d3a6	a general view of the crowd at the event	a general view of atmosphere during performance on stage	artist performs onstage during awards .	pop artist performs onstage during awards .	light at the end of the aisle	2	https://c1.staticflickr.com/6/5735/30691096491_cdd49c73a4_o.jpg	https://www.flickr.com/photos/rarvesen/30691096491	Nick Jonas performing in San Antonio, Texas (2016-09-10)	https://creativecommons.org/licenses/by/2.0/
000313fed9979d24	a helicopter in the field	a helicopter takes off from a field	trees are seen near the town .	a fire in the mountains .	a helicopter flies over protected site .	3	https://c1.staticflickr.com/1/624/32344004241_7b395d5f7f_o.jpg	https://www.flickr.com/photos/13476480@N07/32344004241	Phan Thiet 1967 - Photo by Bob Kelly -  &quot;Flight\'s Up&quot;	https://creativecommons.org/licenses/by/2.0/
0003a523fa9b2a3f	close up of a purple flower	close up of a flower	close up of the flower .	most expensive flowers in the world	what is the name of this plant ?	4	https://c1.staticflickr.com/8/7475/27354911073_edd1401d41_o.jpg	https://www.flickr.com/photos/tdlucas5000/27354911073	Fruitless Passion	https://creativecommons.org/licenses/by/2.0/
0004fdbc5b94c7c2	a view of the lake in the winter	reflections in the water on a cold winter morning	homes for sale located in the city	view from across the lake	a city in the winter	5	https://c1.staticflickr.com/9/8146/29249197081_016ec26cb9_o.jpg	https://www.flickr.com/photos/blachswan/29249197081	Boatsheds at Dusk	https://creativecommons.org/licenses/by/2.0/
0005aea8c9144c77	sun over the green field	the sun shines through the clouds	a landscape of vineyards and mountains	photo of a green field	tea plantation in the region	6	https://c1.staticflickr.com/9/8049/29941729552_0ccd48d410_o.jpg	https://www.flickr.com/photos/reggiepen/29941729552	Summer Day	https://creativecommons.org/licenses/by/2.0/
0005fcc2fd4eaa4a	a view of the sunset over the beach	sunset over bodies of water	the sun sets over bodies of water	walking on the beach at sunset	the sun sets over bodies of water .	7	https://c1.staticflickr.com/6/5204/29554662720_4f3dca5170_o.jpg	https://www.flickr.com/photos/endogamia/29554662720/	Untitled	https://creativecommons.org/licenses/by/2.0/
00069966ba8519e5	advertisement for the motor car	the front page of the car	the car on the cover of magazine .	cars of the near future	automobile model on automobile model	8	https://c1.staticflickr.com/8/7301/27534067096_1d23b5d484_o.jpg	https://www.flickr.com/photos/autohistorian/27534067096	1963 Rambler Classic Six Cross Country 770 Wagon	https://creativecommons.org/licenses/by/2.0/
0007ffd0ba02c9ce	image may contain person on stage playing a musical instrument and night	image may contain person on stage playing a musical instrument and night	image may contain : person , on stage , playing a musical instrument , night and concert	image may contain : person , on stage , playing a musical instrument , concert , night and indoor	image may contain : person , on stage , playing a musical instrument and night	9	https://c1.staticflickr.com/8/7671/27285246444_6d3deff690_o.jpg	https://www.flickr.com/photos/ukm/27285246444	John Harman Bratland	https://creativecommons.org/licenses/by/2.0/
