Index	IMAGE_KEY	CAPTION	COUNT_RATINGS	COUNT_GOOD_RATINGS
0	0000d67245642c5f	view of the roof of the building	8	6
1	0000d67245642c5f	looking up at the base of the pyramid	6	6
2	0000d67245642c5f	the pyramid of the pyramid	10	5
3	0000d67245642c5f	pyramid of monarch and tourist attraction	9	8
4	0000d67245642c5f	the pyramid of the pyramid	8	5
5	0001244aa8ed3099	view of the house in the autumn	10	7
6	0001244aa8ed3099	autumn leaves on the roof of a house	10	6
7	0001244aa8ed3099	autumn in the garden -- stock photo #	10	7
8	0001244aa8ed3099	photos of the gardens and gardens	8	7
9	0001244aa8ed3099	the view from the garden	8	8
10	0001c8fbfb30d3a6	a general view of the crowd at the event	9	7
11	0001c8fbfb30d3a6	a general view of atmosphere during performance on stage	8	6
12	0001c8fbfb30d3a6	artist performs onstage during awards .	7	5
13	0001c8fbfb30d3a6	pop artist performs onstage during awards .	9	6
14	0001c8fbfb30d3a6	light at the end of the aisle	9	5
15	000313fed9979d24	a helicopter in the field	5	3
16	000313fed9979d24	a helicopter takes off from a field	8	6
17	000313fed9979d24	trees are seen near the town .	10	5
18	000313fed9979d24	a fire in the mountains .	8	4
19	000313fed9979d24	a helicopter flies over protected site .	10	8
20	0003a523fa9b2a3f	close up of a purple flower	7	7
21	0003a523fa9b2a3f	close up of a flower	8	6
22	0003a523fa9b2a3f	close up of the flower .	9	8
23	0003a523fa9b2a3f	most expensive flowers in the world	7	5
24	0003a523fa9b2a3f	what is the name of this plant ?	8	5
25	0004fdbc5b94c7c2	a view of the lake in the winter	9	8
26	0004fdbc5b94c7c2	reflections in the water on a cold winter morning	10	8
27	0004fdbc5b94c7c2	homes for sale located in the city	10	5
28	0004fdbc5b94c7c2	view from across the lake	9	8
29	0004fdbc5b94c7c2	a city in the winter	6	5
30	0005aea8c9144c77	sun over the green field	9	7
31	0005aea8c9144c77	the sun shines through the clouds	9	8
32	0005aea8c9144c77	a landscape of vineyards and mountains	9	5
33	0005aea8c9144c77	photo of a green field	9	7
